id;item;location;region;campaign;item_url;location_screenshot_url
11;1 Keen Oni Talon;Ressac silencieux;La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Keen_Oni_Talon;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Silent_Surf_map.jpg
12;2 Hardened Humps;Plateau Nebo;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Hardened_Hump;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Nebo_Terrace_map.jpg
13;2 Piles of Elemental Dust;Lac Drakkar;Lointaines Cimefroides;Eye of the North;https://wiki.guildwars.com/wiki/Pile_of_Elemental_Dust;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Drakkar_Lake_map.jpg
14;3 Naga Hides;Péninsule de Panjiang;Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Naga_Hide;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Panjiang_Peninsula_map.jpg
15;3 Spiritwood Planks;Gueule du Griffon;Cimefroides du Nord;Prophecies;https://wiki.guildwars.com/wiki/Spiritwood_Plank;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Griffon%27s_Mouth_map.jpg
16;1 Stormy Eye;Plaines Grêlées;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Stormy_Eye;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Pockmark_Flats_map.jpg
17;3 Skree Wings;Montagnes de la tribune;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Skree_Wing;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Forum_Highlands_map.jpg
18;3 Soul Stones;Palais de Raisu (zone d'explorationn);Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Soul_Stone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Raisu_Palace_(explorable_area)_map.jpg
19;1 Spiked Crest;Larmes des Déchus;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Spiked_Crest;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Tears_of_the_Fallen_map.jpg
20;1 Dragon Root;Brousses de Drazach;Forêt d'Echovald;Factions;https://wiki.guildwars.com/wiki/Dragon_Root;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Drazach_Thicket_map.jpg
21;3 Berserker Horns;Moraine de Jaga;Lointaines Cimefroides;Eye of the North;https://wiki.guildwars.com/wiki/Berserker_Horn;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Jaga_Moraine_map.jpg
22;1 Behemoth Jaw;Lagon de Mamnoun;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Behemoth_Jaw;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Mamnoon_Lagoon_map.jpg
23;1 Bowl of Skalefin Soup;Etendues de Zehlon;Istan;Nightfall;https://wiki.guildwars.com/wiki/Bowl_of_Skalefin_Soup;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Zehlon_Reach_map.jpg
24;2 Forest Minotaur Horns;Pic de Kesse;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Forest_Minotaur_Horn;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Kessex_Peak_map.jpg
25;3 Putrid Cysts;District de Sunjiang (zone d'exploration);Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Putrid_Cyst;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Sunjiang_District_(explorable_area)_map.jpg
26;2 Jade Mandibles;Plaines Salines;Désert de Crystal;Prophecies;https://wiki.guildwars.com/wiki/Jade_Mandible;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Salt_Flats_map.jpg
27;2 Maguuma Manes;Bois-Argent;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Maguuma_Mane;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Silverwood_map.jpg
28;1 Skull Juju;Le Verger Eternel (zone d'exploration);Forêt d'Echovald;Factions;https://wiki.guildwars.com/wiki/Skull_Juju;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Eternal_Grove_(explorable_area)_map.jpg
29;3 Mandragor Swamproots;Marais de Lahtenda;Istan;Nightfall;https://wiki.guildwars.com/wiki/Mandragor_Swamproot;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Lahtenda_Bog_map.jpg
30;1 Bottle of Vabbian Wine;Vallée de Vehtendi;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Bottle_of_Vabbian_Wine;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Vehtendi_Valley_map.jpg
31;2 Weaver Legs;Pierres des Mages;Côte Ternie;Eye of the North;https://wiki.guildwars.com/wiki/Weaver_Leg;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Magus_Stones_map.jpg
32;1 Topaz Crest;Montée du Devin;Désert de Crystal;Prophecies;https://wiki.guildwars.com/wiki/Topaz_Crest;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Diviner%27s_Ascent_map.jpg
33;2 Rot Wallow Tusks;Vallée de Pongmei;Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Rot_Wallow_Tusk;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Pongmei_Valley_map.jpg
34;2 Frostfire Fangs;Rocher de l'Enclume;Cimefroides du Nord;Prophecies;https://wiki.guildwars.com/wiki/Frostfire_Fang;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Anvil_Rock_map.jpg
35;1 Demonic Relic;Coeur déchiré;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Demonic_Relic;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Ruptured_Heart_map.jpg
36;2 Abnormal Seeds;Lande de Talmark;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Abnormal_Seed;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Talmark_Wilderness_map.jpg
37;1 Diamond Djinn Essence;Cité cachée d'Ahdashim;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Diamond_Djinn_Essence;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Hidden_City_of_Ahdashim_map.jpg
38;2 Forgotten Seals;Moraines du Vautour;Désert de Crystal;Prophecies;https://wiki.guildwars.com/wiki/Forgotten_Seal;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Vulture_Drifts_map.jpg
39;5 Copper Crimson Skull Coins;Province de Kinya;Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Copper_Crimson_Skull_Coin;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Kinya_Province_map.jpg
40;3 Mossy Mandibles;Echine d'Ettin;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Mossy_Mandible;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Ettin%27s_Back_map.jpg
41;2 Enslavement Stones;L'Empreinte de Grenth;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Enslavement_Stone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Grenth%27s_Footprint_map.jpg
42;5 Elonian Leather Squares;Falaises de Jahai;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Elonian_Leather_Square;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Jahai_Bluffs_map.jpg
43;2 Cobalt Talons;Mines de Vehjin;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Cobalt_Talon;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Vehjin_Mines_map.jpg
44;1 Maguuma Spider Web;Marais du Roseau;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Maguuma_Spider_Web;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Reed_Bog_map.jpg
45;5 Forgotten Trinket Boxes;Domaine du ministre Cho (zone d'exploration);Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Forgotten_Trinket_Box;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Minister_Cho%27s_Estate_(explorable_area)_map.jpg
46;3 Icy Humps;Mine du Cheval de Fer;Cimefroides du Nord;Prophecies;https://wiki.guildwars.com/wiki/Icy_Hump;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Iron_Horse_Mine_map.jpg
47;1 Sandblasted Lodestone;Les Ravins dévastés;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Sandblasted_Lodestone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Shattered_Ravines_map.jpg
48;3 Black Pearls;Les Archipels;La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Black_Pearl;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Archipelagos_map.jpg
49;3 Insect Carapaces;Côte de Marga;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Insect_Carapace;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Marga_Coast_map.jpg
50;3 Mergoyle Skulls;Côte des Tours de Guet;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Mergoyle_Skull;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Watchtower_Coast_map.jpg
51;3 Decayed Orr Emblems;Terres maudites;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Decayed_Orr_Emblem;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Cursed_Lands_map.jpg
52;5 Tempered Glass Vials;Chutes Endeuillées;Forêt d'Echovald;Factions;https://wiki.guildwars.com/wiki/Tempered_Glass_Vial;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Mourning_Veil_Falls_map.jpg
53;3 Scorched Lodestones;Vieil Ascalon;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Scorched_Lodestone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Old_Ascalon_map.jpg
54;1 Water Djinn Essence;Procession de Turai;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Water_Djinn_Essence;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Turai%27s_Procession_map.jpg
55;1 Guardian Moss;Collines de Maishang;La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Guardian_Moss;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Maishang_Hills_map.jpg
56;6 Dwarven Ales;Plaines inondables de Mahnkelon;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Dwarven_Ale;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Floodplain_of_Mahnkelon_map.jpg
57;2 Amphibian Tongues;Marais de la lumillule;Côte Ternie;Eye of the North;https://wiki.guildwars.com/wiki/Amphibian_Tongue;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Sparkfly_Swamp_map.jpg
58;2 Alpine Seeds;Forêt gelée;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Alpine_Seed;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Frozen_Forest_map.jpg
59;2 Tangled Seeds;Cimesèche;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Tangled_Seed;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Dry_Top_map.jpg
60;3 Stolen Supplies;Promontoire de Jaya;Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Stolen_Supplies;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Jaya_Bluffs_map.jpg
61;1 Pahnai Salad;Plaines de Jarin;Istan;Nightfall;https://wiki.guildwars.com/wiki/Pahnai_Salad;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Plains_of_Jarin_map.jpg
62;3 Vermin Hides;Sentier de Xaquang;Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Vermin_Hide;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Xaquang_Skyway_map.jpg
63;1 Roaring Ether Heart;Le Miroir de Lyss;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Roaring_Ether_Heart;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Mirror_of_Lyss_map.jpg
64;3 Leathery Claws;Collines d'Ascalon;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Leathery_Claw;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Ascalon_Foothills_map.jpg
65;1 Azure Crest;Eaux Endormies (zone d'exploration);La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Azure_Crest;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Unwaking_Waters_(explorable_area)_map.jpg
66;1 Jotun Pelt;Frontière de Bjora;Lointaines Cimefroides;Eye of the North;https://wiki.guildwars.com/wiki/Jotun_Pelt;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Bjora_Marches_map.jpg
67;2 Heket Tongues;Domaine de Dejarin;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Heket_Tongue;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Dejarin_Estate_map.jpg
68;5 Mountain Troll Tusks;Pente du Talus;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Mountain_Troll_Tusk;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Talus_Chute_map.jpg
69;3 Vials of Ink;Tunnels de Shenzun;Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Vial_of_Ink;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Shenzun_Tunnels_map.jpg
70;3 Kournan Pendants;Gandara, la Forteresse de la lune;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Kournan_Pendant;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Gandara,_the_Moon_Fortress_map.jpg
71;3 Singed Gargoyle Skulls;Basses-terres de Diessa;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Singed_Gargoyle_Skull;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Diessa_Lowlands_map.jpg
72;3 Dredge Incisors;Espoir de Melandru;Forêt d'Echovald;Factions;https://wiki.guildwars.com/wiki/Dredge_Incisor;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Melandru%27s_Hope_map.jpg
73;3 Stone Summit Badges;Fin de Tasca;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Stone_Summit_Badge;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Tasca%27s_Demise_map.jpg
74;3 Krait Skins;Baie d'Arbor;Côte Ternie;Eye of the North;https://wiki.guildwars.com/wiki/Krait_Skin;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Arbor_Bay_map.jpg
75;2 Inscribed Shards;Domaine de Joko;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Inscribed_Shard;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Joko%27s_Domain_map.jpg
76;3 Feathered Scalps;Vallée de Sunqua;Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Feathered_Scalp;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Sunqua_Vale_map.jpg
77;3 Mummy Wrappings;Désert Sulfureux;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Mummy_Wrapping;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Sulfurous_Wastes_map.jpg
78;2 Shadowy Remnants;Le Rideau Noir;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Shadowy_Remnants;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Black_Curtain_map.jpg
79;3 Ancient Kappa Shells;La cité souterraine;Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Ancient_Kappa_Shell;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Undercity_map.jpg
80;1 Geode;Canyons de Yatendi;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Geode;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Yatendi_Canyons_map.jpg
81;2 Fibrous Mandragor Roots;Collines de la Guerre de Grothmar;Territoires Charr;Eye of the North;https://wiki.guildwars.com/wiki/Fibrous_Mandragor_Root;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Grothmar_Wardowns_map.jpg
82;3 Gruesome Ribcages;Gosier du Dragon;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Gruesome_Ribcage;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Dragon%27s_Gullet_map.jpg
83;2 Kraken Eyes;Fonds Marins de Boreas (zone d'exploration);La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Kraken_Eye;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Boreas_Seabed_(explorable_area)_map.jpg
84;3 Bog Skale Fins;Pente des Brigands;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Bog_Skale_Fin;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Scoundrel%27s_Rise_map.jpg
85;2 Sentient Spores;Confins du Soleil;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Sentient_Spore;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Sunward_Marches_map.jpg
86;2 Ancient Eyes;Saugeterres;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Ancient_Eye;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Sage_Lands_map.jpg
87;3 Copper Shillings;Falaises de Dohjok;Istan;Nightfall;https://wiki.guildwars.com/wiki/Copper_Shilling;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Cliffs_of_Dohjok_map.jpg
88;3 Frigid Mandragor Husks;Domaines de Norrhart;Lointaines Cimefroides;Eye of the North;https://wiki.guildwars.com/wiki/Frigid_Mandragor_Husk;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Norrhart_Domains_map.jpg
89;3 Bolts of Linen;Val du pèlerin;Cimefroides du Nord;Prophecies;https://wiki.guildwars.com/wiki/Bolt_of_Linen;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Traveler%27s_Vale_map.jpg
90;3 Charr Carvings;Corridor du Temple de la Flamme;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Charr_Carving;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Flame_Temple_Corridor_map.jpg
91;3 Red Iris Flowers;Vallée du Régent;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Red_Iris_Flower;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Regent_Valley_map.jpg
92;3 Feathered Avicara Scalps;Sources minérales;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Feathered_Avicara_Scalp;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Mineral_Springs_map.jpg
93;2 Margonite Masks;Saillies empoisonnées;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Margonite_Mask;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Poisoned_Outcrops_map.jpg
94;2 Quetzal Crests;Lacis d'Alcazia;Côte Ternie;Eye of the North;https://wiki.guildwars.com/wiki/Quetzal_Crest;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Alcazia_Tangle_map.jpg
95;3 Plague Idols;Bazar de Waijun;Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Plague_Idol;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Wajjun_Bazaar_map.jpg
96;2 Azure Remains;Congère cuirassée;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Azure_Remains;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Dreadnought%27s_Drift_map.jpg
97;1 Mandragor Root Cake;Quartier d'Arkjok;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Mandragor_Root_Cake;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Arkjok_Ward_map.jpg
98;1 Mahgo Claw;Roc de la Perdition;Archipel des Iles de feu Islands;Prophecies;https://wiki.guildwars.com/wiki/Mahgo_Claw;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Perdition_Rock_map.jpg
99;5 Mantid Pincers;Chemin de Saoshang;Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Mantid_Pincer;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Saoshang_Trail_map.jpg
100;3 Sentient Seeds;Fahranur, première cité;Istan;Nightfall;https://wiki.guildwars.com/wiki/Sentient_Seed;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Fahranur,_The_First_City_map.jpg
101;2 Stone Grawl Necklaces;Vallée de Sacnoth;Territoires Charr Homelands;Eye of the North;https://wiki.guildwars.com/wiki/Stone_Grawl_Necklace;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Sacnoth_Valley_map.jpg
102;1 Herring;Lacs des Serpents jumeaux;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Herring;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Twin_Serpent_Lakes_map.jpg
103;3 Naga Skins;Mont Qinkai;La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Naga_Skin;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Mount_Qinkai_map.jpg
104;1 Gloom Seed;Les Chutes;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Gloom_Seed;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Falls_map.jpg
105;1 Charr Hide;La Brèche du Rempart;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Charr_Hide;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Breach_map.jpg
106;1 Ruby Djinn Essence;Cuvette d'Alkali;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Ruby_Djinn_Essence;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Alkali_Pan_map.jpg
107;2 Thorny Carapaces;Refuge royal;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Thorny_Carapace;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Majesty%27s_Rest_map.jpg
108;3 Bone Charms;Le Cratère de Rhea;La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Bone_Charm_(trophy);https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Rhea%27s_Crater_map.jpg
109;3 Modniir Manes;Lande de Varajar;Lointaines Cimefroides;Eye of the North;https://wiki.guildwars.com/wiki/Modniir_Mane;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Varajar_Fells_map.jpg
110;3 Superb Charr Carvings;Plateaux de Dalada;Territoires Charr Homelands;Eye of the North;https://wiki.guildwars.com/wiki/Superb_Charr_Carving;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Dalada_Uplands_map.jpg
111;5 Rolls of Parchment;Zen Daijun (zone d'exploration);Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Roll_of_Parchment;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Zen_Daijun_(explorable_area)_map.jpg
112;2 Roaring Ether Claws;Jardin de Seborhin;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Roaring_Ether_Claw;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Garden_of_Seborhin_map.jpg
113;3 Branches of Juni Berries;Chemin de Bukdek;Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Branch_of_Juni_Berries;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Bukdek_Byway_map.jpg
114;3 Shiverpeak Manes;Bassin de Deldrimor;Cimefroides du Nord;Prophecies;https://wiki.guildwars.com/wiki/Shiverpeak_Mane;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Deldrimor_Bowl_map.jpg
115;3 Fetid Carapaces;Frontière orientale;Ascalon;Prophecies;https://wiki.guildwars.com/wiki/Fetid_Carapace;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Eastern_Frontier_map.jpg
116;2 Moon Shells;Couvoir de Gyala (zone d'exploration);La Mer de Jade;Factions;https://wiki.guildwars.com/wiki/Moon_Shell;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Gyala_Hatchery_(explorable_area)_map.jpg
117;1 Massive Jawbone;La Mer Aride;Désert de Crystal;Prophecies;https://wiki.guildwars.com/wiki/Massive_Jawbone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Arid_Sea_map.jpg
118;1 Chromatic Scale;Gouffre de givre;Lointaines Cimefroides;Eye of the North;https://wiki.guildwars.com/wiki/Chromatic_Scale;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Ice_Cliff_Chasms_map.jpg
119;3 Mursaat Tokens;Banquise de glace;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Mursaat_Token;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Ice_Floe_map.jpg
120;1 Sentient Lodestone;Cavernes Bahdok;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Sentient_Lodestone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Bahdok_Caverns_map.jpg
