skillId;skillUri;skillIcon;skillInfos;skillStats;onlyPve;elite
22;https://wiki.guildwars.com/wiki/Inspired_Hex;https://wiki.guildwars.com/images/3/34/Inspired_Hex.jpg;Profession=5|Attribute=3|Special=duplicate skill|Type=0;Energy=5|Activation=1;false;false
23;https://wiki.guildwars.com/wiki/Power_Spike;https://wiki.guildwars.com/images/4/48/Power_Spike.jpg;Profession=5|Attribute=2|Type=0;Energy=5|Activation=0.25|Recharge=12;false;false
24;https://wiki.guildwars.com/wiki/Power_Leak;https://wiki.guildwars.com/images/0/07/Power_Leak.jpg;Profession=5|Attribute=2|Type=0;Energy=10|Activation=0.25|Recharge=20;false;false
25;https://wiki.guildwars.com/wiki/Power_Drain;https://wiki.guildwars.com/images/8/86/Power_Drain.jpg;Profession=5|Attribute=3|Type=0;Energy=5|Activation=0.25|Recharge=20;false;false
26;https://wiki.guildwars.com/wiki/Empathy;https://wiki.guildwars.com/images/7/7d/Empathy.jpg;Profession=5|Attribute=2|Type=2;Energy=10|Activation=2|Recharge=10;false;false
27;https://wiki.guildwars.com/wiki/Shatter_Delusions;https://wiki.guildwars.com/images/f/f1/Shatter_Delusions.jpg;Profession=5|Attribute=2|Type=0;Energy=5|Activation=0.25|Recharge=6;false;false
28;https://wiki.guildwars.com/wiki/Backfire;https://wiki.guildwars.com/images/a/a1/Backfire.jpg;Profession=5|Attribute=2|Type=2;Energy=15|Activation=3|Recharge=20;false;false
29;https://wiki.guildwars.com/wiki/Blackout;https://wiki.guildwars.com/images/8/84/Blackout.jpg;Profession=5|Attribute=2|Type=15;Energy=10|Activation=1|Recharge=12;false;false
30;https://wiki.guildwars.com/wiki/Diversion;https://wiki.guildwars.com/images/6/62/Diversion.jpg;Profession=5|Attribute=2|Type=2;Energy=10|Activation=3|Recharge=12;false;false
31;https://wiki.guildwars.com/wiki/Conjure_Phantasm;https://wiki.guildwars.com/images/d/d7/Conjure_Phantasm.jpg;Profession=5|Attribute=1|Type=2;Energy=10|Activation=1|Recharge=5;false;false
32;https://wiki.guildwars.com/wiki/Illusion_of_Weakness;https://wiki.guildwars.com/images/1/1a/Illusion_of_Weakness.jpg;Profession=5|Attribute=1|Type=5;Energy=10|Activation=2|Recharge=30;false;false
33;https://wiki.guildwars.com/wiki/Illusionary_Weaponry;https://wiki.guildwars.com/images/a/ab/Illusionary_Weaponry.jpg;Profession=5|Attribute=1|Type=5;Energy=5|Activation=1|Recharge=25;false;true
34;https://wiki.guildwars.com/wiki/Sympathetic_Visage;https://wiki.guildwars.com/images/6/63/Sympathetic_Visage.jpg;Profession=5|Attribute=1|Special=duplicate skill|Type=5;Energy=10|Activation=1|Recharge=20;false;false
35;https://wiki.guildwars.com/wiki/Ignorance;https://wiki.guildwars.com/images/5/5c/Ignorance.jpg;Profession=5|Attribute=2|Type=2;Energy=15|Activation=1|Recharge=10;false;false
36;https://wiki.guildwars.com/wiki/Arcane_Conundrum;https://wiki.guildwars.com/images/6/6a/Arcane_Conundrum.jpg;Profession=5|Attribute=1|Type=2;Energy=10|Activation=2|Recharge=20;false;false
37;https://wiki.guildwars.com/wiki/Illusion_of_Haste;https://wiki.guildwars.com/images/c/cf/Illusion_of_Haste.jpg;Profession=5|Attribute=1|Type=5;Energy=5|Activation=1|Recharge=5;false;false
38;https://wiki.guildwars.com/wiki/Channeling;https://wiki.guildwars.com/images/1/1e/Channeling.jpg;Profession=5|Attribute=3|Type=5;Energy=5|Activation=1|Recharge=15;false;false
39;https://wiki.guildwars.com/wiki/Energy_Surge;https://wiki.guildwars.com/images/f/f6/Energy_Surge.jpg;Profession=5|Attribute=2|Type=0;Energy=5|Activation=2|Recharge=15;false;true
40;https://wiki.guildwars.com/wiki/Ether_Feast;https://wiki.guildwars.com/images/0/03/Ether_Feast.jpg;Profession=5|Attribute=3|Type=0;Energy=5|Activation=1|Recharge=8;false;false
41;https://wiki.guildwars.com/wiki/Ether_Lord;https://wiki.guildwars.com/images/1/1a/Ether_Lord.jpg;Profession=5|Attribute=3|Type=2;Energy=5|Activation=2|Recharge=20;false;false
42;https://wiki.guildwars.com/wiki/Energy_Burn;https://wiki.guildwars.com/images/a/a6/Energy_Burn.jpg;Profession=5|Attribute=2|Type=0;Energy=10|Activation=2|Recharge=20;false;false
43;https://wiki.guildwars.com/wiki/Clumsiness;https://wiki.guildwars.com/images/e/e9/Clumsiness.jpg;Profession=5|Attribute=1|Type=2;Energy=10|Activation=2|Recharge=8;false;false
44;https://wiki.guildwars.com/wiki/Phantom_Pain;https://wiki.guildwars.com/images/e/e7/Phantom_Pain.jpg;Profession=5|Attribute=1|Type=2;Energy=5|Activation=2|Recharge=15;false;false
45;https://wiki.guildwars.com/wiki/Ethereal_Burden;https://wiki.guildwars.com/images/f/f4/Ethereal_Burden.jpg;Profession=5|Attribute=1|Special=duplicate skill|Type=2;Energy=15|Activation=01.5|Recharge=30;false;false
46;https://wiki.guildwars.com/wiki/Guilt;https://wiki.guildwars.com/images/c/c7/Guilt.jpg;Profession=5|Attribute=2|Type=2;Energy=5|Activation=2|Recharge=25;false;false
47;https://wiki.guildwars.com/wiki/Ineptitude;https://wiki.guildwars.com/images/6/6d/Ineptitude.jpg;Profession=5|Attribute=1|Type=2;Energy=10|Activation=1|Recharge=15;false;true
48;https://wiki.guildwars.com/wiki/Spirit_of_Failure;https://wiki.guildwars.com/images/b/ba/Spirit_of_Failure.jpg;Profession=5|Attribute=3|Type=2;Energy=15|Activation=3|Recharge=20;false;false
49;https://wiki.guildwars.com/wiki/Mind_Wrack;https://wiki.guildwars.com/images/9/92/Mind_Wrack.jpg;Profession=5|Attribute=2|Type=2;Energy=5|Activation=1|Recharge=7;false;false
50;https://wiki.guildwars.com/wiki/Wastrel%27s_Worry;https://wiki.guildwars.com/images/f/f3/Wastrel%27s_Worry.jpg;Profession=5|Attribute=2|Type=2;Energy=5|Activation=0.25|Recharge=1;false;false
51;https://wiki.guildwars.com/wiki/Shame;https://wiki.guildwars.com/images/f/fb/Shame.jpg;Profession=5|Attribute=2|Type=2;Energy=10|Activation=2|Recharge=30;false;false
52;https://wiki.guildwars.com/wiki/Panic;https://wiki.guildwars.com/images/f/f7/Panic.jpg;Profession=5|Attribute=2|Type=2;Energy=10|Activation=1|Recharge=15;false;true
53;https://wiki.guildwars.com/wiki/Migraine;https://wiki.guildwars.com/images/a/ad/Migraine.jpg;Profession=5|Attribute=1|Type=2;Energy=10|Activation=2|Recharge=12;false;true
54;https://wiki.guildwars.com/wiki/Crippling_Anguish;https://wiki.guildwars.com/images/e/e4/Crippling_Anguish.jpg;Profession=5|Attribute=1|Type=2;Energy=5|Activation=1|Recharge=12;false;true
55;https://wiki.guildwars.com/wiki/Fevered_Dreams;https://wiki.guildwars.com/images/7/72/Fevered_Dreams.jpg;Profession=5|Attribute=1|Type=2;Energy=10|Activation=2|Recharge=10;false;true
56;https://wiki.guildwars.com/wiki/Soothing_Images;https://wiki.guildwars.com/images/9/97/Soothing_Images.jpg;Profession=5|Attribute=1|Type=2;Energy=15|Activation=2|Recharge=8;false;false
57;https://wiki.guildwars.com/wiki/Cry_of_Frustration;https://wiki.guildwars.com/images/e/e7/Cry_of_Frustration.jpg;Profession=5|Attribute=2|Type=0;Energy=10|Activation=0.25|Recharge=15;false;false
58;https://wiki.guildwars.com/wiki/Signet_of_Midnight;https://wiki.guildwars.com/images/e/eb/Signet_of_Midnight.jpg;Profession=5|Type=1;Activation=2|Recharge=10;false;true
59;https://wiki.guildwars.com/wiki/Signet_of_Weariness;https://wiki.guildwars.com/images/f/fd/Signet_of_Weariness.jpg;Profession=5|Attribute=2|Type=1;Activation=2|Recharge=30;false;false
61;https://wiki.guildwars.com/wiki/Leech_Signet;https://wiki.guildwars.com/images/5/53/Leech_Signet.jpg;Profession=5|Attribute=3|Type=1;Activation=0.25|Recharge=30;false;false
62;https://wiki.guildwars.com/wiki/Signet_of_Humility;https://wiki.guildwars.com/images/7/7d/Signet_of_Humility.jpg;Profession=5|Attribute=3|Type=1;Activation=3|Recharge=20;false;false
63;https://wiki.guildwars.com/wiki/Keystone_Signet;https://wiki.guildwars.com/images/3/31/Keystone_Signet.jpg;Profession=5|Attribute=0|Type=1;Activation=1|Recharge=15;false;true
65;https://wiki.guildwars.com/wiki/Arcane_Mimicry;https://wiki.guildwars.com/images/d/d4/Arcane_Mimicry.jpg;Profession=5|Type=0;Energy=15|Activation=2|Recharge=60;false;false
66;https://wiki.guildwars.com/wiki/Spirit_Shackles;https://wiki.guildwars.com/images/2/25/Spirit_Shackles.jpg;Profession=5|Attribute=3|Type=2;Energy=10|Activation=3|Recharge=8;false;false
67;https://wiki.guildwars.com/wiki/Shatter_Hex;https://wiki.guildwars.com/images/d/d2/Shatter_Hex.jpg;Profession=5|Attribute=2|Type=0;Energy=10|Activation=1|Recharge=10;false;false
68;https://wiki.guildwars.com/wiki/Drain_Enchantment;https://wiki.guildwars.com/images/1/13/Drain_Enchantment.jpg;Profession=5|Attribute=3|Type=0;Energy=5|Activation=2|Recharge=20;false;false
69;https://wiki.guildwars.com/wiki/Shatter_Enchantment;https://wiki.guildwars.com/images/4/4c/Shatter_Enchantment.jpg;Profession=5|Attribute=2|Type=0;Energy=10|Activation=1|Recharge=20;false;false
72;https://wiki.guildwars.com/wiki/Elemental_Resistance;https://wiki.guildwars.com/images/f/fc/Elemental_Resistance.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
73;https://wiki.guildwars.com/wiki/Physical_Resistance;https://wiki.guildwars.com/images/1/1e/Physical_Resistance.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
74;https://wiki.guildwars.com/wiki/Echo;https://wiki.guildwars.com/images/a/a0/Echo.jpg;Profession=5|Type=5;Energy=5|Activation=1|Recharge=10;false;true
75;https://wiki.guildwars.com/wiki/Arcane_Echo;https://wiki.guildwars.com/images/b/b2/Arcane_Echo.jpg;Profession=5|Type=5;Energy=15|Activation=2|Recharge=20;false;false
76;https://wiki.guildwars.com/wiki/Imagined_Burden;https://wiki.guildwars.com/images/5/5b/Imagined_Burden.jpg;Profession=5|Attribute=1|Type=2;Energy=15|Activation=1|Recharge=30;false;false
77;https://wiki.guildwars.com/wiki/Chaos_Storm;https://wiki.guildwars.com/images/8/88/Chaos_Storm.jpg;Profession=5|Attribute=2|Type=0;Energy=5|Activation=2|Recharge=30;false;false
78;https://wiki.guildwars.com/wiki/Epidemic;https://wiki.guildwars.com/images/3/3b/Epidemic.jpg;Profession=5|Type=0;Energy=5|Activation=0.25|Recharge=5;false;false
79;https://wiki.guildwars.com/wiki/Energy_Drain;https://wiki.guildwars.com/images/8/8c/Energy_Drain.jpg;Profession=5|Attribute=3|Type=0;Energy=5|Activation=1|Recharge=30;false;true
80;https://wiki.guildwars.com/wiki/Energy_Tap;https://wiki.guildwars.com/images/6/67/Energy_Tap.jpg;Profession=5|Attribute=3|Type=0;Energy=5|Activation=2|Recharge=30;false;false
81;https://wiki.guildwars.com/wiki/Arcane_Thievery;https://wiki.guildwars.com/images/a/a6/Arcane_Thievery.jpg;Profession=5|Attribute=2|Special=duplicate skill|Type=0;Energy=10|Activation=1;false;false
82;https://wiki.guildwars.com/wiki/Mantra_of_Recall;https://wiki.guildwars.com/images/a/a0/Mantra_of_Recall.jpg;Profession=5|Attribute=3|Type=5;Energy=10|Activation=1|Recharge=30;false;true
83;https://wiki.guildwars.com/wiki/Animate_Bone_Horror;https://wiki.guildwars.com/images/2/22/Animate_Bone_Horror.jpg;Profession=4|Attribute=5|Type=0;Energy=10|Activation=3|Recharge=5;false;false
84;https://wiki.guildwars.com/wiki/Animate_Bone_Fiend;https://wiki.guildwars.com/images/0/0b/Animate_Bone_Fiend.jpg;Profession=4|Attribute=5|Type=0;Energy=25|Activation=3|Recharge=5;false;false
85;https://wiki.guildwars.com/wiki/Animate_Bone_Minions;https://wiki.guildwars.com/images/a/ab/Animate_Bone_Minions.jpg;Profession=4|Attribute=5|Type=0;Energy=15|Activation=3|Recharge=5;false;false
86;https://wiki.guildwars.com/wiki/Grenth%27s_Balance;https://wiki.guildwars.com/images/5/5e/Grenth%27s_Balance.jpg;Profession=4|Type=0;Energy=10|Activation=0.25|Recharge=10;false;true
87;https://wiki.guildwars.com/wiki/Verata%27s_Gaze;https://wiki.guildwars.com/images/b/b6/Verata%27s_Gaze.jpg;Profession=4|Attribute=5|Type=0;Energy=5|Activation=1|Recharge=5;false;false
88;https://wiki.guildwars.com/wiki/Verata%27s_Aura;https://wiki.guildwars.com/images/f/f4/Verata%27s_Aura.jpg;Profession=4|Attribute=5|Type=5;Sacrifice=33%|Energy=15|Activation=0.75|Recharge=30;false;false
89;https://wiki.guildwars.com/wiki/Deathly_Chill;https://wiki.guildwars.com/images/4/4a/Deathly_Chill.jpg;Profession=4|Attribute=5|Type=0;Energy=10|Activation=1|Recharge=5;false;false
90;https://wiki.guildwars.com/wiki/Verata%27s_Sacrifice;https://wiki.guildwars.com/images/4/41/Verata%27s_Sacrifice.jpg;Profession=4|Attribute=5|Type=0;Sacrifice=15%|Energy=10|Activation=2|Recharge=60;false;false
91;https://wiki.guildwars.com/wiki/Well_of_Power;https://wiki.guildwars.com/images/7/74/Well_of_Power.jpg;Profession=4|Attribute=4|Type=27;Energy=5|Activation=1|Recharge=15;false;true
92;https://wiki.guildwars.com/wiki/Well_of_Blood;https://wiki.guildwars.com/images/0/02/Well_of_Blood.jpg;Profession=4|Attribute=4|Type=27;Energy=10|Activation=1|Recharge=2;false;false
93;https://wiki.guildwars.com/wiki/Well_of_Suffering;https://wiki.guildwars.com/images/3/31/Well_of_Suffering.jpg;Profession=4|Attribute=5|Type=27;Energy=10|Activation=1|Recharge=10;false;false
94;https://wiki.guildwars.com/wiki/Well_of_the_Profane;https://wiki.guildwars.com/images/7/74/Well_of_the_Profane.jpg;Profession=4|Attribute=5|Type=27;Energy=25|Activation=3|Recharge=10;false;false
95;https://wiki.guildwars.com/wiki/Putrid_Explosion;https://wiki.guildwars.com/images/6/6d/Putrid_Explosion.jpg;Profession=4|Attribute=5|Type=0;Energy=10|Activation=1|Recharge=5;false;false
96;https://wiki.guildwars.com/wiki/Soul_Feast;https://wiki.guildwars.com/images/2/29/Soul_Feast.jpg;Profession=4|Attribute=5|Type=0;Energy=10|Activation=1;false;false
97;https://wiki.guildwars.com/wiki/Necrotic_Traversal;https://wiki.guildwars.com/images/6/63/Necrotic_Traversal.jpg;Profession=4|Attribute=5|Type=0;Energy=5|Activation=0.75;false;false
98;https://wiki.guildwars.com/wiki/Consume_Corpse;https://wiki.guildwars.com/images/c/ca/Consume_Corpse.jpg;Profession=4|Attribute=5|Type=0;Energy=10|Activation=1;false;false
99;https://wiki.guildwars.com/wiki/Parasitic_Bond;https://wiki.guildwars.com/images/1/1d/Parasitic_Bond.jpg;Profession=4|Attribute=7|Type=2;Energy=5|Activation=1|Recharge=2;false;false
100;https://wiki.guildwars.com/wiki/Soul_Barbs;https://wiki.guildwars.com/images/c/c5/Soul_Barbs.jpg;Profession=4|Attribute=7|Type=2;Energy=10|Activation=2|Recharge=20;false;false
101;https://wiki.guildwars.com/wiki/Barbs;https://wiki.guildwars.com/images/c/c1/Barbs.jpg;Profession=4|Attribute=7|Type=2;Energy=10|Activation=2|Recharge=5;false;false
102;https://wiki.guildwars.com/wiki/Shadow_Strike;https://wiki.guildwars.com/images/0/08/Shadow_Strike.jpg;Profession=4|Attribute=4|Special=duplicate skill|Type=0;Energy=10|Activation=2|Recharge=15;false;false
103;https://wiki.guildwars.com/wiki/Price_of_Failure;https://wiki.guildwars.com/images/1/17/Price_of_Failure.jpg;Profession=4|Attribute=7|Type=2;Energy=15|Activation=2|Recharge=20;false;false
104;https://wiki.guildwars.com/wiki/Death_Nova;https://wiki.guildwars.com/images/b/be/Death_Nova.jpg;Profession=4|Attribute=5|Type=5;Energy=5|Activation=2;false;false
105;https://wiki.guildwars.com/wiki/Deathly_Swarm;https://wiki.guildwars.com/images/9/93/Deathly_Swarm.jpg;Profession=4|Attribute=5|Type=0;Energy=10|Activation=2|Recharge=6;false;false
106;https://wiki.guildwars.com/wiki/Rotting_Flesh;https://wiki.guildwars.com/images/d/dd/Rotting_Flesh.jpg;Profession=4|Attribute=5|Type=0;Energy=15|Activation=3|Recharge=3;false;false
107;https://wiki.guildwars.com/wiki/Virulence;https://wiki.guildwars.com/images/4/4a/Virulence.jpg;Profession=4|Attribute=5|Type=0;Energy=5|Activation=1|Recharge=15;false;true
108;https://wiki.guildwars.com/wiki/Suffering;https://wiki.guildwars.com/images/e/e4/Suffering.jpg;Profession=4|Attribute=7|Type=2;Energy=15|Activation=1|Recharge=10;false;false
109;https://wiki.guildwars.com/wiki/Life_Siphon;https://wiki.guildwars.com/images/8/8a/Life_Siphon.jpg;Profession=4|Attribute=4|Type=2;Energy=10|Activation=1|Recharge=5;false;false
110;https://wiki.guildwars.com/wiki/Unholy_Feast;https://wiki.guildwars.com/images/b/bd/Unholy_Feast.jpg;Profession=4|Attribute=4|Type=0;Energy=15|Activation=0.75|Recharge=8;false;false
111;https://wiki.guildwars.com/wiki/Awaken_the_Blood;https://wiki.guildwars.com/images/e/e4/Awaken_the_Blood.jpg;Profession=4|Attribute=4|Type=5;Energy=10|Activation=1|Recharge=45;false;false
112;https://wiki.guildwars.com/wiki/Desecrate_Enchantments;https://wiki.guildwars.com/images/0/0a/Desecrate_Enchantments.jpg;Profession=4|Attribute=7|Special=duplicate skill|Type=0;Energy=10|Activation=2|Recharge=15;false;false
113;https://wiki.guildwars.com/wiki/Tainted_Flesh;https://wiki.guildwars.com/images/2/26/Tainted_Flesh.jpg;Profession=4|Attribute=5|Type=5;Energy=5|Activation=1;false;true
114;https://wiki.guildwars.com/wiki/Aura_of_the_Lich;https://wiki.guildwars.com/images/5/5e/Aura_of_the_Lich.jpg;Profession=4|Attribute=5|Type=5;Energy=15|Activation=2|Recharge=45;false;true
115;https://wiki.guildwars.com/wiki/Blood_Renewal;https://wiki.guildwars.com/images/c/cd/Blood_Renewal.jpg;Profession=4|Attribute=4|Type=5;Sacrifice=15%|Energy=1|Activation=1|Recharge=7;false;false
116;https://wiki.guildwars.com/wiki/Dark_Aura;https://wiki.guildwars.com/images/e/ee/Dark_Aura.jpg;Profession=4|Attribute=5|Type=5;Energy=10|Activation=1|Recharge=10;false;false
117;https://wiki.guildwars.com/wiki/Enfeeble;https://wiki.guildwars.com/images/2/28/Enfeeble.jpg;Profession=4|Attribute=7|Type=0;Energy=5|Activation=0.25|Recharge=5;false;false
118;https://wiki.guildwars.com/wiki/Enfeebling_Blood;https://wiki.guildwars.com/images/5/58/Enfeebling_Blood.jpg;Profession=4|Attribute=7|Type=0;Sacrifice=10%|Energy=1|Activation=1|Recharge=8;false;false
119;https://wiki.guildwars.com/wiki/Blood_is_Power;https://wiki.guildwars.com/images/2/28/Blood_is_Power.jpg;Profession=4|Attribute=4|Type=5;Sacrifice=33%|Energy=1|Activation=0.25;false;true
120;https://wiki.guildwars.com/wiki/Blood_of_the_Master;https://wiki.guildwars.com/images/d/d5/Blood_of_the_Master.jpg;Profession=4|Attribute=5|Type=0;Sacrifice=5%+|Energy=5|Activation=1|Recharge=2;false;false
121;https://wiki.guildwars.com/wiki/Spiteful_Spirit;https://wiki.guildwars.com/images/0/00/Spiteful_Spirit.jpg;Profession=4|Attribute=7|Type=2;Energy=15|Activation=2|Recharge=10;false;true
122;https://wiki.guildwars.com/wiki/Malign_Intervention;https://wiki.guildwars.com/images/6/66/Malign_Intervention.jpg;Profession=4|Attribute=5|Type=2;Energy=10|Activation=1|Recharge=5;false;false
123;https://wiki.guildwars.com/wiki/Insidious_Parasite;https://wiki.guildwars.com/images/4/48/Insidious_Parasite.jpg;Profession=4|Attribute=7|Type=2;Energy=15|Activation=1|Recharge=12;false;false
124;https://wiki.guildwars.com/wiki/Spinal_Shivers;https://wiki.guildwars.com/images/6/6f/Spinal_Shivers.jpg;Profession=4|Attribute=7|Special=duplicate skill|Type=2;Energy=10|Activation=2|Recharge=15;false;false
125;https://wiki.guildwars.com/wiki/Wither;https://wiki.guildwars.com/images/a/a0/Wither.jpg;Profession=4|Attribute=7|Type=2;Energy=10|Activation=2|Recharge=10;false;true
126;https://wiki.guildwars.com/wiki/Life_Transfer;https://wiki.guildwars.com/images/4/49/Life_Transfer.jpg;Profession=4|Attribute=4|Type=2;Energy=5|Activation=1|Recharge=20;false;true
127;https://wiki.guildwars.com/wiki/Mark_of_Subversion;https://wiki.guildwars.com/images/2/2a/Mark_of_Subversion.jpg;Profession=4|Attribute=4|Type=2;Energy=10|Activation=2|Recharge=30;false;false
128;https://wiki.guildwars.com/wiki/Soul_Leech;https://wiki.guildwars.com/images/0/0b/Soul_Leech.jpg;Profession=4|Attribute=4|Type=2;Energy=10|Activation=2|Recharge=15;false;true
129;https://wiki.guildwars.com/wiki/Defile_Flesh;https://wiki.guildwars.com/images/c/c7/Defile_Flesh.jpg;Profession=4|Attribute=7|Type=2;Sacrifice=10%|Energy=10|Activation=1|Recharge=10;false;false
130;https://wiki.guildwars.com/wiki/Demonic_Flesh;https://wiki.guildwars.com/images/0/01/Demonic_Flesh.jpg;Profession=4|Attribute=4|Type=5;Energy=5|Activation=1|Recharge=30;false;false
131;https://wiki.guildwars.com/wiki/Barbed_Signet;https://wiki.guildwars.com/images/d/d1/Barbed_Signet.jpg;Profession=4|Attribute=4|Type=1;Sacrifice=8%|Activation=1|Recharge=10;false;false
132;https://wiki.guildwars.com/wiki/Plague_Signet;https://wiki.guildwars.com/images/b/b1/Plague_Signet.jpg;Profession=4|Attribute=7|Type=1;Activation=1|Recharge=4;false;true
133;https://wiki.guildwars.com/wiki/Dark_Pact;https://wiki.guildwars.com/images/a/af/Dark_Pact.jpg;Profession=4|Attribute=4|Type=0;Sacrifice=10%|Energy=1|Activation=1|Recharge=2;false;false
134;https://wiki.guildwars.com/wiki/Order_of_Pain;https://wiki.guildwars.com/images/7/7c/Order_of_Pain.jpg;Profession=4|Attribute=4|Type=5;Sacrifice=17%|Energy=10|Activation=2;false;false
135;https://wiki.guildwars.com/wiki/Faintheartedness;https://wiki.guildwars.com/images/6/61/Faintheartedness.jpg;Profession=4|Attribute=7|Type=2;Energy=10|Activation=1|Recharge=8;false;false
136;https://wiki.guildwars.com/wiki/Shadow_of_Fear;https://wiki.guildwars.com/images/a/a8/Shadow_of_Fear.jpg;Profession=4|Attribute=7|Type=2;Energy=10|Activation=2|Recharge=5;false;false
137;https://wiki.guildwars.com/wiki/Rigor_Mortis;https://wiki.guildwars.com/images/9/90/Rigor_Mortis.jpg;Profession=4|Attribute=7|Type=2;Energy=10|Activation=1|Recharge=20;false;false
138;https://wiki.guildwars.com/wiki/Dark_Bond;https://wiki.guildwars.com/images/c/c9/Dark_Bond.jpg;Profession=4|Attribute=4|Type=5;Energy=5|Activation=2|Recharge=20;false;false
139;https://wiki.guildwars.com/wiki/Infuse_Condition;https://wiki.guildwars.com/images/4/4e/Infuse_Condition.jpg;Profession=4|Attribute=5|Type=5;Energy=5|Activation=1|Recharge=20;false;false
140;https://wiki.guildwars.com/wiki/Malaise;https://wiki.guildwars.com/images/3/37/Malaise.jpg;Profession=4|Attribute=7|Type=2;Energy=5|Activation=2|Recharge=2;false;false
141;https://wiki.guildwars.com/wiki/Rend_Enchantments;https://wiki.guildwars.com/images/d/d9/Rend_Enchantments.jpg;Profession=4|Attribute=7|Type=0;Energy=5|Activation=2|Recharge=20;false;false
142;https://wiki.guildwars.com/wiki/Lingering_Curse;https://wiki.guildwars.com/images/a/a6/Lingering_Curse.jpg;Profession=4|Attribute=7|Type=2;Energy=15|Activation=1|Recharge=10;false;true
143;https://wiki.guildwars.com/wiki/Strip_Enchantment;https://wiki.guildwars.com/images/9/91/Strip_Enchantment.jpg;Profession=4|Attribute=4|Type=0;Energy=10|Activation=1|Recharge=20;false;false
144;https://wiki.guildwars.com/wiki/Chilblains;https://wiki.guildwars.com/images/0/0a/Chilblains.jpg;Profession=4|Attribute=7|Type=0;Energy=25|Activation=2|Recharge=8;false;false
