skillId;skillName;skillDescription
40;Ether Feast;Spell. Target foe loses 3 Energy. You are healed 20...56...65 for each point of Energy lost.
41;Ether Lord;Hex Spell. You lose all Energy. For 5...9...10 seconds, target foe suffers -1...3...3 Energy degeneration, and you experience +1...3...3 Energy regeneration.
42;Energy Burn;Spell. Target foe loses 1...8...10 Energy and takes 9 damage for each point of Energy lost.
43;Clumsiness;Hex Spell. For 4 seconds, target and adjacent foes are hexed with Clumsiness. The next time each foe attacks, the attack is interrupted and that foe suffers 10...76...92 damage.
44;Phantom Pain;Hex Spell. For 10 seconds, target foe suffers -1...3...4 Health degeneration. When Phantom Pain ends, that foe suffers a Deep Wound, lowering that foe's maximum Health by 20% for 5...17...20 seconds.
45;Ethereal Burden;Hex Spell.  For 10 seconds, target foe moves 50% slower.  When Ethereal Burden ends, you gain 10...16...18 Energy.
46;Guilt;Hex Spell. For 6 seconds, the next time target foe casts a spell that targets a foe, the spell fails and you steal up to 5...12...14 Energy from that foe.
47;Ineptitude;Elite Hex Spell. For 4 seconds, the next time target foe or any adjacent foe attacks, they take 30...114...135 damage and are Blinded for 10 seconds.
48;Spirit of Failure;Hex Spell. For 30 seconds, target foe has a 25% chance to miss with attacks. You gain 1...3...3 Energy whenever that foe fails to hit in combat.
49;Mind Wrack;Hex Spell. For 5...33...40 seconds, whenever this foe is the target of any of your non-hex Mesmer skills, that foe loses 1 Energy and takes 5...21...25 damage per point of Energy lost. If the target foe's Energy drops to 0, Mind Wrack ends and that foe takes 15...83...100 damage.
50;Wastrel's Worry;Hex Spell. After 3 seconds, target foe and all adjacent foes take 20...84...100 damage. If that foe successfully uses a skill, Wastrel's Worry ends prematurely and does no damage.
51;Shame;Hex Spell. For 6 seconds, the next time target foe casts a spell that targets an ally, the spell fails and you steal up to 5...12...14 Energy from that foe.
52;Panic;Elite Hex Spell. For 1...8...10 second[s], target foe and all nearby foes are hexed with Panic. When a foe hexed with Panic successfully uses a skill, all other nearby foes are interrupted.
53;Migraine;Elite Hex Spell. For 5...17...20 seconds, target foe suffers -1...7...8 Health degeneration and takes 100% longer to activate skills.
54;Crippling Anguish;Elite Hex Spell. For 5...17...20 seconds, target moves and attacks 50% slower and suffers -1...7...8 Health degeneration.
55;Fevered Dreams;Elite Hex Spell. For 10...22...25 seconds, whenever target foe suffers from a new condition, all foes in the area suffer from that condition as well. If target foe has two or more conditions that foe is Dazed for 1...3...3 second[s].
56;Soothing Images;Hex Spell. For 8...18...20 seconds, target foe and all adjacent foes cannot gain adrenaline.
57;Cry of Frustration;Spell. If target foe is using a skill, that foe and all foes in the area are interrupted and suffer 15...63...75 damage.
58;Signet of Midnight;Elite Signet. You and target touched foe become Blinded for 15 seconds.
59;Signet of Weariness;Signet. Target foe and all nearby foes lose 3...7...8 Energy and suffer from Weakness for 1...10...12 second[s].
61;Leech Signet;Signet. Interrupt target foe's action. If that action was a spell, you gain 3...13...15 Energy.
62;Signet of Humility;Signet. Target foe's elite skill is disabled for 1...13...16 second[s]. Your non-Mesmer skills are disabled for 10 seconds.
63;Keystone Signet;Elite Signet. All of your signets except Keystone Signet are recharged. For 20 seconds, the next 0...5...6 time[s] you use a signet that targets a foe, all other foes adjacent to your target take 15...51...60 damage and are interrupted.
65;Arcane Mimicry;Spell. For 20 seconds, Arcane Mimicry becomes the non-form elite skill from target other ally.
66;Spirit Shackles;Hex Spell. For 5...17...20 seconds, target foe loses 5 Energy whenever that foe attacks.
67;Shatter Hex;Spell. Remove a hex from target ally. If a hex is removed, foes near that ally take 30...102...120 damage.
68;Drain Enchantment;Spell. Remove an enchantment from target foe. If an enchantment is removed, you gain 8...15...17 Energy and 40...104...120 Health.
69;Shatter Enchantment;Spell. Remove an enchantment from target foe. If an enchantment is removed, that foe takes 14...83...100 damage.
72;Elemental Resistance;Stance. For 30...78...90 seconds, You gain +40 armor against elemental damage, but you lose 24...14...12 armor against physical damage.
73;Physical Resistance;Stance. For 30...78...90 seconds, You gain +40 armor against physical damage, but you lose 24...14...12 armor against elemental damage.
74;Echo;Elite Enchantment Spell. For 30 seconds, Echo is replaced with the next skill you use. Echo acts as this skill for 30 seconds.
75;Arcane Echo;Enchantment Spell. If you cast a spell in the next 20 seconds, Arcane Echo is replaced with that spell for 20 seconds. Arcane Echo ends prematurely if you use a non-spell skill.
76;Imagined Burden;Hex Spell. For 8...18...20 seconds, target foe moves 50% slower.
77;Chaos Storm;Spell. Create a Chaos Storm at target foe's location that lasts for 10 seconds. Each second, foes adjacent to this location take 5...21...25 damage and lose 0...2...2 Energy.
78;Epidemic;Spell. Spread all negative conditions and their remaining durations from target foe to all foes adjacent to your target.
79;Energy Drain;Elite Spell. Target foe loses 2...8...9 Energy. You gain 3 Energy for each point of Energy lost.
80;Energy Tap;Spell. Target foe loses 4...6...7 Energy. You gain 2 Energy for each point of Energy lost.
81;Arcane Thievery;Spell. For 5...29...35 seconds, one random spell is disabled for target foe, and Arcane Thievery is replaced by that spell.
82;Mantra of Recall;Elite Enchantment Spell. For 20 seconds, you gain no benefit from it. You gain 10...22...25 Energy when Mantra of Recall ends.
83;Animate Bone Horror;Spell. Exploit nearest corpse to animate a level 1...14...17 bone horror.
84;Animate Bone Fiend;Spell. Exploit nearest corpse to animate a level 1...14...17 bone fiend. Bone fiends can attack at range.
85;Animate Bone Minions;Spell. Exploit nearest corpse to animate two level 0...10...12 bone minions.
86;Grenth's Balance;Elite Spell. If target foe has more Health than you, you gain half the difference (up to your maximum Health), and that foe loses an equal amount. If this foe has less Health than you, you lose half the difference, and that foe gains an equal amount.
87;Verata's Gaze;Spell. If target hostile animated undead has a master, its bond to its master is broken, making it hostile to all other creatures. If it had no master, you become its master. (50% failure chance with Death Magic 4 or less.)
88;Verata's Aura;Enchantment Spell. All hostile animated undead in the area become bound to you. Verata's Aura ends after 120...264...300 seconds. When Verata's Aura ends, you lose your bond with any undead bound to you. (50% failure chance with Death Magic 4 or less.)
89;Deathly Chill;Spell. Target foe is struck for 5...41...50 cold damage. If that foe's Health is above 50%, you deal an additional 5...41...50 shadow damage.
90;Verata's Sacrifice;Spell. For 5...9...10 seconds, your undead allies gain +10 Health regeneration. All conditions are removed from those allies and transferred to you. If this spell is successful and you have control of 3 or fewer minions, Verata's Sacrifice instantly recharges.
91;Well of Power;Elite Well Spell. Exploit nearest corpse to create a Well of Power at that location. For 8...18...20 seconds, allies within the area of Well of Power gain +1...5...6 Health regeneration and +2 Energy regeneration.
92;Well of Blood;Well Spell. Exploit nearest corpse to create a Well of Blood at its location. For 8...18...20 seconds, allies in that area receive +1...5...6 Health regeneration.
93;Well of Suffering;Well Spell. Exploit nearest corpse to create a Well of Suffering at its location. For 10...26...30 seconds, foes in that area suffer -1...5...6 Health degeneration.
94;Well of the Profane;Well Spell. Exploit nearest corpse to create a Well of the Profane at its location. For 8...18...20 seconds, foes in that area are stripped of all enchantments and cannot be the target of further enchantments. (50% failure chance with Death Magic 4 or less.)
95;Putrid Explosion;Spell. The corpse nearest your target explodes, sending out a shockwave that deals 24...101...120 damage to nearby foes.
96;Soul Feast;Spell. Exploit nearest corpse to gain 50...234...280 Health.
97;Necrotic Traversal;Spell. Exploit a random corpse. You teleport to that corpse's location and all nearby foes become Poisoned for 5...17...20 seconds.
98;Consume Corpse;Spell. Exploit a random corpse. You teleport to that corpse's location and gain 25...85...100 Health and 5...17...20 Energy.
99;Parasitic Bond;Hex Spell. For 20 seconds, target foe suffers -1 Health degeneration. The caster is healed for 30...102...120 when Parasitic Bond ends.
100;Soul Barbs;Hex Spell. For 30 seconds, target foe takes 15...27...30 damage when an enchantment or hex is cast on that target.
101;Barbs;Hex Spell. For 30 seconds, target foe takes 1...12...15 more damage when hit by physical damage.
102;Shadow Strike;Spell. Target foe takes 12...41...48 shadow damage. If that foe's Health is above 50%, you steal up to 12...41...48 Health.
103;Price of Failure;Hex Spell. For 30 seconds, target foe has a 25% chance to miss with attacks and takes 1...37...46 damage whenever that foe fails to hit in combat.
104;Death Nova;Enchantment Spell. For 30 seconds, if target ally dies, all adjacent foes take 26...85...100 damage and are Poisoned for 15 seconds.
105;Deathly Swarm;Spell. Deathly Swarm flies out slowly and strikes for 30...78...90 cold damage on up to three targets in the area.
106;Rotting Flesh;Spell. Target fleshy foe becomes Diseased for 10...22...25 seconds, slowly losing Health.
107;Virulence;Elite Spell. If target foe was already suffering from a condition, that foe suffers from Disease, Poison, and Weakness for 3...13...15 seconds.
108;Suffering;Hex Spell. For 6...25...30 seconds, target foe and all nearby foes suffer -0...2...3 Health degeneration.
109;Life Siphon;Hex Spell. For -12...22...24 seconds, target foe suffers -1...3...3 Health degeneration, and you gain +1...3...3 Health regeneration.
110;Unholy Feast;Spell. Steal up to 10...54...65 Health from up to 1...3...4 foes [sic] in the area.
111;Awaken the Blood;Enchantment Spell. For 20...39...44 seconds, you gain +2 Blood Magic and +2 Curses, but whenever you sacrifice Health, you sacrifice 50% more than the normal amount.
112;Desecrate Enchantments;Spell. Target foe and all nearby foes take 6...49...60 shadow damage and 4...17...20 shadow damage for each enchantment on them.
113;Tainted Flesh;Elite Enchantment Spell. For 20...39...44 seconds, target ally is immune to disease, and anyone striking that ally in melee becomes Diseased for 3...13...15 seconds.
114;Aura of the Lich;Elite Enchantment Spell. All corpses within earshot are exploited and you animate a level 1...14...17 bone horror plus one for each corpse exploited in this way. For 5...37...45 seconds, your Death Magic attribute is increased by +1.
115;Blood Renewal;Enchantment Spell. For 7 seconds, you gain +3...5...6 Health regeneration. When Blood Renewal ends, you gain 40...160...190 Health.
116;Dark Aura;Enchantment Spell. For 30 seconds, whenever target ally sacrifices Health, Dark Aura deals 5...41...50 shadow damage to adjacent foes, and you lose 5...17...20 Health.
117;Enfeeble;Spell. Target suffers from Weakness for 10...26...30 seconds.
118;Enfeebling Blood;Spell. Target foe and all nearby foes suffer from Weakness for 5...17...20 seconds.
119;Blood is Power;Elite Enchantment Spell. For 10 seconds, target other ally gains +3...5...6 Energy regeneration.
120;Blood of the Master;Spell. All of your undead allies are healed for 30...99...116 Health. You sacrifice an additional 2% maximum Health per minion healed in this way.
121;Spiteful Spirit;Elite Hex Spell. For 8...18...20 seconds, whenever target foe attacks or uses a skill, Spiteful Spirit deals 5...29...35 shadow damage to that foe and all adjacent allies of that foe.
122;Malign Intervention;Hex Spell. For 5...17...20 seconds, target foe receives 20% less benefit from healing. If target foe dies while hexed with Malign Intervention, a level 1...14...17 masterless bone horror is summoned.
123;Insidious Parasite;Hex Spell. For 5...13...15 seconds, whenever target foe hits with an attack, you steal up to 15...39...45 Health from that foe.
124;Spinal Shivers;Hex Spell. For 10...34...40 seconds, whenever target foe is struck for cold damage while using a skill, that foe is interrupted, and you lose 10...6...5 Energy or Spinal Shivers ends.
125;Wither;Elite Hex Spell. For 5...29...35 seconds, target foe suffers -2...4...4 Health degeneration and -1 Energy degeneration. If target foe's Energy reaches 0, that foe takes 15...63...75 damage and Wither ends.
126;Life Transfer;Elite Hex Spell. For 6...11...12 seconds, target foe and adjacent foes suffer -3...7...8 Health degeneration, which you gain as Health regeneration.
127;Mark of Subversion;Hex Spell. For 6 seconds, the next time target foe casts a spell that targets an ally of that foe, the spell fails and you steal up to 10...76...92 Health from that foe.
128;Soul Leech;Elite Hex Spell. For 10 seconds, whenever target foe casts a spell, you steal up to 16...67...80 Health from that foe.
129;Defile Flesh;Hex Spell. For 5...29...35 seconds, target foe gains only two-thirds Health from healing.
130;Demonic Flesh;Enchantment Spell. For 30...54...60 seconds, whenever you use a skill that targets a foe, you deal 5...17...20 shadow damage to all other foes adjacent to you.
131;Barbed Signet;Signet. You inflict Bleeding for 3...13...15 seconds on target foe and all adjacent foes.
132;Plague Signet;Elite Signet. Transfer all negative conditions with 100...180...200% of their remaining durations from yourself to target foe. (50% failure chance with Curses 4 or less.)
133;Dark Pact;Spell. Deal 10...40...48 shadow damage to target foe.
134;Order of Pain;Enchantment Spell. For 5 seconds, whenever a party member hits a foe with physical damage, that party member does +3...13...16 damage.
135;Faintheartedness;Hex Spell. For the next 3...13...16 seconds, target foe attacks 50% slower, and that foe suffers -0...2...3 Health degeneration.
136;Shadow of Fear;Hex Spell. Target foe and all adjacent foes attack 50% slower for the next 5...25...30 seconds.
137;Rigor Mortis;Hex Spell. For 8...18...20 seconds, target foe cannot block.
138;Dark Bond;Enchantment Spell. For the next 30...54...60 seconds, whenever you receive damage, your closest minion suffers 75% of that damage for you.
139;Infuse Condition;Enchantment Spell. For the next 15...51...60 seconds, whenever you receive a condition, that condition is transferred to your closest minion instead.
140;Malaise;Hex Spell. For 5...29...35 seconds, target foe suffers -1 Energy degeneration and you suffer -1 Health degeneration. If target foe's Energy reaches 0, that foe takes 5...41...50 damage and Malaise ends.
141;Rend Enchantments;Spell. Remove 5...8...9 enchantments from target foe. For each Monk enchantment removed, you lose 55...31...25 Health.
142;Lingering Curse;Elite Hex Spell. For 6...25...30 seconds, target foe and all nearby foes suffer -0...2...3 Health degeneration, and gain 20% less benefit from healing.
143;Strip Enchantment;Spell. Remove 0...2...2 enchantment[s] from target foe. If an enchantment is removed, you steal 5...53...65 Health.
144;Chilblains;Spell. You become Poisoned for 10 seconds. Foes in the area of your target are struck for 10...37...44 cold damage and lose 1...2...2 enchantment[s].
145;Signet of Agony;Signet. You suffer from Bleeding for 25 seconds. All nearby foes take 10...58...70 damage.
146;Offering of Blood;Elite Spell. You gain 8...18...20 Energy.
147;Dark Fury;Enchantment Spell. For 5 seconds, whenever any party member hits with an attack, that party member gains one hit of adrenaline. (50% failure chance with Blood Magic of 4 or less.)
148;Order of the Vampire;Elite Enchantment Spell. For 5 seconds, whenever a party member who is not under the effects of another Necromancer enchantment hits a foe with physical damage, that party member steals up to 3...13...16 Health.
149;Plague Sending;Spell. Transfer 1...3...3 negative condition[s] and [its/their] remaining duration[s] from yourself to target foe and all adjacent foes.
150;Mark of Pain;Hex Spell. For 30 seconds, whenever target foe takes physical damage, Mark of Pain deals 10...34...40 shadow damage to adjacent foes.
151;Feast of Corruption;Elite Spell. Target foe and all adjacent foes are struck for 16...67...80 shadow damage. You steal up to 8...34...40 Health from each struck foe who is suffering from a hex.
152;Taste of Death;Spell. Steal up to 100...340...400 Health from target animated undead ally.
153;Vampiric Gaze;Spell. Steal up to 18...52...60 Health from target foe.
154;Plague Touch;Skill. Transfer 1...3...3 negative condition[s] and [its/their] remaining duration[s] from yourself to target touched foe.
155;Vile Touch;Skill. Touch target foe to deal 20...56...65 damage.
156;Vampiric Touch;Skill. Touch target foe to steal up to 29...65...74 Health.
157;Blood Ritual;Enchantment Spell. For 8...13...14 seconds, target touched ally gains +3 Energy regeneration. Blood Ritual cannot be used on the caster.
158;Touch of Agony;Skill. Target touched foe takes 20...50...58 shadow damage.
159;Weaken Armor;Spell. Target foe and foes adjacent to your target have Cracked Armor for 5...17...20 seconds.
160;Windborne Speed;Enchantment Spell. For 5...11...13 seconds, target ally moves 33% faster.
162;Gale;Spell. Knock down target foe for 2 seconds. (50% failure chance with Air Magic 4 or less.)
163;Whirlwind;Spell. All adjacent foes take 15...63...75 cold damage. Attacking foes struck by Whirlwind are knocked down. If you are Overcast, this spell strikes nearby instead of adjacent.
164;Elemental Attunement;Elite Enchantment Spell. For 25...53...60 seconds, you are attuned to Air, Fire, Water, and Earth and gain +1...2...2 to these attributes. You gain 50% of the base Energy cost of the skill each time you use magic associated with any of these elements.
165;Armor of Earth;Enchantment Spell. For 30 seconds, you gain 24...53...60 armor, but move 50...21...14% slower.
166;Kinetic Armor;Enchantment Spell. For 8 seconds, you gain +20...68...80 armor. Whenever you cast a spell, Kinetic Armor is renewed for 8 seconds.
167;Eruption;Spell. Cause an Eruption at target foe's location. Each second for 5 seconds, foes near this location are struck for 10...34...40 earth damage and are Blinded for 10 seconds.
168;Magnetic Aura;Enchantment Spell. For 1...4...5 second[s], you block the next attack against you and deal 10...42...50 damage to your attacker. If you are Overcast, all party members in earshot are also enchanted.
169;Earth Attunement;Enchantment Spell. For 36...55...60 seconds, you are attuned to Earth. You gain 1 Energy plus 30% of the base Energy cost of the skill each time you use Earth Magic.
170;Earthquake;Spell. You invoke an Earthquake at target foe's location. All foes near this location are knocked down and are struck for 26...85...100 earth damage.
171;Stoning;Spell. Send out a large stone, striking target foe for 45...93...105 earth damage if it hits. If Stoning hits a foe suffering from Weakness, that foe is knocked down.
172;Stone Daggers;Spell. Send out two Stone Daggers. Each Stone Dagger strikes target foe for 8...28...33 earth damage if it hits. If you are Overcast, each projectile inflicts Bleeding for 1...4...5 second[s].
173;Grasping Earth;Hex Spell. For 5...17...20 seconds, all nearby foes move 50% slower.
174;Aftershock;Spell. Nearby foes are struck for 26...85...100 earth damage. Knocked down foes are struck for 10...56...68 additional earth damage.
175;Ward Against Elements;Ward Spell.  You create a Ward Against Elements at your current location. For 8...18...20 seconds, non-spirit allies in this area gain +24 armor against elemental damage.
176;Ward Against Melee;Ward Spell. You create a Ward Against Melee at your current location. For 5...17...20 seconds, non-spirit allies in this area have a 50% chance to block melee attacks.
177;Ward Against Foes;Ward Spell. You create a Ward Against Foes at your current location. For 8...18...20 seconds, non-spirit foes in this area move 50% slower.
178;Ether Prodigy;Elite Enchantment Spell. Lose all enchantments. For 8...18...20 seconds, you gain +6 Energy regeneration. When Ether Prodigy ends, you lose 2 Health for each point of Energy you have.
179;Incendiary Bonds;Hex Spell.  After 3 seconds, target foe and all nearby foes are struck for 20...68...80 fire damage and are set on fire for 1...3...3 second[s]. Activates early if target foe dies.
180;Aura of Restoration;Enchantment Spell. For 60 seconds, you gain 0...1...1 Energy and are healed for 200...440...500% of the Energy cost each time you cast a spell.
181;Ether Renewal;Elite Enchantment Spell. For 5...17...20 seconds, each time you cast a spell, you gain 1...3...4 Energy and 5...17...20 Health for each enchantment on you.
182;Conjure Flame;Enchantment Spell. For 60 seconds, if you're wielding a fire weapon, your attacks strike for an additional 5...17...20 fire damage.
183;Inferno;Spell.  All adjacent foes are struck for 30...114...135 fire damage.
184;Fire Attunement;Enchantment Spell. For 36...55...60 seconds, you are attuned to Fire. You gain 1 Energy plus 30% of the base Energy cost of the skill each time you use Fire Magic.
185;Mind Burn;Elite Spell. Target foe and all adjacent foes take 15...51...60 fire damage.  If you have more Energy than target foe, that foe and all adjacent foes take an additional 15...51...60 fire damage and are set on fire for 1...8...10 second[s].
186;Fireball;Spell. Send out a ball of fire that strikes target foe and all adjacent foes for 7...91...112 fire damage.
187;Meteor;Spell. Target foe and all adjacent foes are struck for 7...91...112 fire damage and knocked down.
188;Flame Burst;Spell. All nearby foes are struck for 15...99...120 fire damage.
189;Rodgort's Invocation;Spell. Target foe and all nearby foes are struck for 15...99...120 fire damage and set on fire for 1...3...3 second[s].
190;Mark of Rodgort;Hex Spell. Target foe and all nearby foes are hexed with Mark of Rodgort. For 10...30...35 seconds, whenever each foe is struck for fire damage, that foe is set on fire for 1...3...4 second[s].
191;Immolate;Spell. Target foe is struck for 20...64...75 fire damage and is set on fire for 1...3...3 second[s].
192;Meteor Shower;Spell. Create a Meteor Shower at target foe's location. For 9 seconds, foes adjacent to that location are struck for 7...91...112 fire damage and knocked down every 3 seconds.
193;Phoenix;Spell. A fiery Phoenix rises at your location and flies out to your target, exploding on impact. This explosion strikes your target and nearby foes for 10...50...60 fire damage. If you are Overcast, allies in the blast radius are healed for 20...68...80 Health.
194;Flare;Spell. Send out a flare that strikes target foe for 20...56...65 fire damage if it hits. If you are Overcast, Flare hits adjacent foes as well.
195;Lava Font;Spell. For 5 seconds, foes adjacent to the location where this spell was cast are struck for 5...41...50 fire damage each second. If you are Overcast, this spell strikes nearby foes instead of adjacent ones.
196;Searing Heat;Spell. Cause Searing Heat at target foe's location. For 5 seconds, foes near this location are struck for 10...34...40 fire damage each second. When Searing Heat ends, foes in the area of effect are set on fire for 3 seconds.
197;Fire Storm;Spell. Create a Fire Storm at target foe's location. For 10 seconds, foes adjacent to that location are struck for 5...29...35 fire damage each second.
198;Glyph of Elemental Power;Glyph. For 25 seconds, your elemental attributes are boosted by 2 for your next 10 spells.
199;Glyph of Energy;Elite Glyph. Your next 1...3...3 spell[s] do[es] not cause Overcast and cost[s] 10...22...25 less Energy to cast. Your elemental attributes are increased by 1...2...2.
200;Glyph of Lesser Energy;Glyph. For the next 15 seconds, your next 2 spells cost 10...16...18 less Energy to cast.
201;Glyph of Concentration;Glyph.  For 15 seconds, your next 1 spell cannot be interrupted and ignores the effects of being Dazed.
202;Glyph of Sacrifice;Glyph. For 15 seconds, your next spell casts instantly, but it takes an additional 30 seconds to recharge. Ends prematurely if you use a non-spell skill.
203;Glyph of Renewal;Elite Glyph. For 15 seconds, your next spell instantly recharges.
204;Rust;Hex Spell. Deals 10...58...70 cold damage to target and adjacent foes. For 5...17...20 seconds, target foe and all adjacent foes take twice as long to activate signets. If you are Overcast, foes struck with Rust have their signets interrupted and disabled for 1...8...10 second[s].
205;Lightning Surge;Elite Hex Spell. After 3 seconds, target foe is knocked down and struck for 14...83...100 lightning damage, and has Cracked Armor for 5...17...20 seconds. This spell has 25% armor penetration.
206;Armor of Frost;Enchantment Spell.  For 10...29...34 seconds, you gain +40 armor against physical damage and have +1 Water Magic.
207;Conjure Frost;Enchantment Spell. For 60 seconds, if you're wielding a cold weapon, your attacks strike for an additional 5...17...20 cold damage.
208;Water Attunement;Enchantment Spell. For 36...55...60 seconds, you are attuned to Water. You gain 1 Energy plus 30% of the base Energy cost of the skill each time you use Water Magic.
209;Mind Freeze;Elite Hex Spell. Target foe takes 10...50...60 cold damage. If you have more Energy than target foe, that foe suffers an additional 10...50...60 cold damage and moves 90% slower for 1...4...5 second[s].
210;Ice Prison;Hex Spell.  For 8...18...20 seconds, target foe's legs are encased in ice, causing the foe to move 66% slower.
211;Ice Spikes;Hex Spell. Target and adjacent foes are struck for 20...68...80 cold damage and move 66% slower for 2...5...6 seconds.
212;Frozen Burst;Hex Spell.  All nearby foes are struck for 10...70...85 cold damage and move 66% slower for 3...7...8 seconds.
213;Shard Storm;Hex Spell.  Send out an ice shard that strikes target foe for 10...70...85 cold damage if it hits and causing target foe to move 66% slower for 2...5...6 seconds.
214;Ice Spear;Enchantment Spell. Send out an Ice Spear, striking target foe for 10...50...60 cold damage if it hits. If you are Overcast, you gain +1...3...4 Health regeneration for 5 seconds.
215;Maelstrom;Spell. Create a Maelstrom at target foe's location. For 10 seconds, foes adjacent to that area are struck for 10...22...25 cold damage each second. Maelstrom interrupts spell-casting when it hits.
216;Iron Mist;Enchantment Spell. For 8...14...15 seconds, you have +15 armor. Your Air Magic spells that target a foe activate and recharge 25% faster, but you are Overcast by 3 points.
217;Crystal Wave;Spell. Foes adjacent to you are struck for 10...58...70 damage but are cured of any negative conditions. Each condition removed deals 5...13...15 damage.
218;Obsidian Flesh;Elite Enchantment Spell. For 8...18...20 seconds, you gain +20 armor and cannot be the target of enemy spells, but cannot attack and have -2 energy degeneration.
219;Obsidian Flame;Spell. Deal 22...94...112 damage to target foe. This spell ignores armor.
220;Blinding Flash;Spell. Target foe is Blinded for 3...7...8 seconds.
221;Conjure Lightning;Enchantment Spell. For 60 seconds, if you're wielding a lightning weapon, your attacks strike for an additional 5...17...20 lightning damage.
